;ev_load_shifting_z1;ev_load_shifting_z2;ev_load_shifting_z3;ev_load_shifting_z4;ev_load_shifting_z5;ev_load_shifting_z6
1;2871.961885;4072.452084;1771.976255;2457.801826;3004.08369;1965.04368
2;2317.065855;3146.416468;1550.972535;2002.36251;2322.560226;1834.38918
3;2152.096765;2609.736736;1479.935625;1806.05246;2107.34229;1797.80592
4;2092.108005;2388.750964;1448.363665;1688.26643;1990.765908;1724.6394
5;2039.61784;2220.380852;1428.63119;1703.971234;1901.091768;1750.7703
6;2144.59817;2199.334588;1590.437485;2347.868198;2071.472634;2414.49516
7;3074.42395;3367.40224;1914.050075;3125.255996;3210.334212;2513.79258
8;3434.35651;4219.775932;2099.53534;3682.776538;3506.258874;2806.45866
9;3936.762375;4998.4877;2387.629475;4491.573944;4080.17337;3475.4097
10;4919.07832;6240.217276;2790.171965;5433.862184;5183.165292;3846.46848
11;5286.509475;7429.331192;2987.496715;5897.153902;5721.210132;3961.44444
12;5324.00245;7955.487792;3086.15909;6179.840374;5918.49324;4186.17018
13;5518.96592;8365.88994;3192.714455;6344.740816;6259.254972;4050.2895
14;5249.0165;8502.690656;3161.142495;6321.18361;6070.939278;4003.25388
15;5099.0446;8481.644392;3204.55394;6384.002826;6070.939278;4144.36074
16;5189.02774;8597.398844;3346.62776;6501.788856;6286.157214;4452.70536
17;5511.467325;8913.092804;3259.80487;5991.382726;6698.658258;4353.40794
18;5234.01931;7850.256472;3204.55394;5724.401058;5810.884272;4437.02682
19;5353.99683;7629.2707;3220.33992;5669.434244;5918.49324;4541.55042
20;5541.461705;7597.701304;3204.55394;5473.124194;6061.971864;4510.19334
21;5368.99402;7324.099872;3066.426615;5080.504094;5963.33031;4301.14614
22;4949.0727;6745.327612;2798.064955;4538.688356;5523.927024;3898.73028
23;4364.18229;5998.18524;2486.29185;3910.496196;4815.501318;3339.52902
24;3629.31998;5093.195888;2071.909875;3085.993986;3891.857676;2289.06684
25;2467.037755;3872.512576;1566.758515;2285.048982;2726.093856;1912.78188
26;2099.6066;2946.47696;1404.95222;1923.83849;2304.625398;1735.09176
27;1942.136105;2515.028548;1318.12933;1735.380842;2080.440048;1625.34198
28;1889.64594;2262.47338;1302.34335;1672.561626;1972.83108;1677.60378
29;2047.116435;2209.85772;1389.16624;1876.724078;2089.407462;1803.0321
30;2384.55321;2441.366624;1696.99285;2803.307514;2492.941092;2853.49428
31;3816.784855;4072.452084;2162.67926;3792.710166;4241.586822;3020.73204
32;4229.20758;5166.857812;2308.699575;4122.51105;4689.957522;2973.69642
33;4229.20758;5545.690564;2367.897;4334.525904;4824.468732;2994.60114
34;4244.20477;5829.815128;2478.39886;4711.4412;5003.817012;3245.45778
35;4469.16262;6408.587388;2616.526185;5041.242084;5461.155126;3339.52902
36;4559.14576;6797.943272;2695.456085;5245.404536;5685.340476;3334.30284
37;4514.15419;7039.975308;2758.600005;5449.566988;5783.98203;3475.4097
38;4581.641545;7355.669268;2865.15537;5732.25346;6026.102208;3480.63588
39;4634.13171;7723.978888;2975.65723;6038.497138;6348.929112;3747.17106
40;4941.574105;8208.04296;3161.142495;6329.036012;6886.973952;4018.93242
41;5241.517905;8692.107032;3046.69414;5802.925078;7425.018792;3961.44444
42;5159.03336;7639.793832;3054.58713;5567.353018;6348.929112;3841.2423
43;4964.06989;7418.80806;2971.710735;5292.518948;6035.069622;3559.02858
44;4596.638735;6976.836516;2821.743925;4915.603652;5443.220298;3747.17106
45;4656.627495;6608.526896;2715.18856;4672.17919;5559.79668;3606.0642
46;4341.686505;6219.171012;2490.238345;4193.182668;5210.067534;3245.45778
47;3809.28626;5524.6443;2217.93019;3612.10492;4528.54407;2848.2681
48;3276.886015;4735.4094;1949.56853;3015.322368;3802.183536;2320.42392
49;2639.50544;3893.55884;1665.42089;2402.835012;2932.344378;1944.13896
50;2249.5785;3114.847072;1491.77511;2025.919716;2421.20178;1755.99648
51;2069.61222;2651.829264;1397.05923;1821.757264;2170.114188;1641.02052
52;2002.124865;2388.750964;1381.27325;1743.233244;2053.537806;1682.82996
53;2152.096765;2315.08904;1464.149645;1955.248098;2179.081602;1818.71064
54;2474.53635;2525.55168;1756.190275;2897.536338;2591.582646;2853.49428
55;3914.26659;4177.683404;2174.518745;3879.086588;4420.935102;3005.0535
56;4319.19072;5272.089132;2348.164525;4201.03507;4905.175458;2978.9226
57;4296.694935;5629.87562;2399.46896;4413.049924;5093.491152;2978.9226
58;4266.700555;5935.046448;2502.07783;4789.96522;5317.676502;3266.3625
59;4476.661215;6524.34184;2644.15165;5119.766104;5837.786514;3365.65992
60;4551.647165;6913.697724;2734.921035;5292.518948;6115.776348;3397.017
61;4506.655595;7124.160364;2786.22547;5465.271792;6259.254972;3501.5406
62;4544.14857;7397.761796;2904.62032;5747.958264;6546.21222;3606.0642
63;4589.14014;7766.071416;3019.068675;6054.201942;6869.039124;3893.5041
64;4836.593775;8229.089224;3196.66095;6344.740816;7416.051378;4186.17018
65;5136.537575;8734.19956;3062.48012;5857.891892;7954.096218;4128.6822
66;5016.560055;7702.932624;3078.2661;5614.46743;6653.821188;4003.25388
67;4814.09799;7471.42372;2967.76424;5323.928556;6304.092042;3694.90926
68;4461.664025;7029.452176;2825.69042;4970.570466;5721.210132;3851.69466
69;4521.652785;6682.18882;2730.97454;4719.293602;5855.721342;3694.90926
70;4229.20758;6282.309804;2498.131335;4232.444678;5505.992196;3339.52902
71;3726.801715;5577.25996;2229.769675;3659.219332;4770.664248;2910.98226
72;3209.39866;4788.02506;1957.46152;3023.17477;3972.564402;2388.36426
73;2579.51668;3883.035708;1669.367385;2410.687414;3102.725244;1991.17458
74;2204.58693;3125.370204;1491.77511;2033.772118;2591.582646;1808.25828
75;2039.61784;2662.352396;1404.95222;1821.757264;2322.560226;1682.82996
76;1979.62908;2388.750964;1385.219745;1751.085646;2188.049016;1724.6394
77;2129.60098;2325.612172;1468.09614;1970.952902;2277.723156;1860.52008
78;2467.037755;2557.121076;1768.02976;2889.683936;2672.289372;2937.11316
79;3914.26659;4188.206536;2221.876685;3863.381784;4573.38114;3083.4462
80;4311.692125;5240.519736;2367.897;4138.215854;5120.393394;3041.63676
81;4251.703365;5556.213696;2403.415455;4334.525904;5326.643916;3072.99384
82;4184.21601;5840.33826;2490.238345;4719.293602;5577.731508;3349.98138
83;4394.17667;6440.156784;2624.419175;5041.242084;6133.711176;3459.73116
84;4416.672455;6808.466404;2671.777115;5213.994928;6411.70101;3438.82644
85;4356.683695;7008.405912;2719.135055;5418.15738;6546.21222;3538.12386
86;4364.18229;7313.57674;2802.01145;5700.843852;6851.104296;3616.51656
87;4401.675265;7650.316964;2884.887845;5959.973118;7191.866028;3883.05174
88;4694.12047;8081.765376;3046.69414;6203.39758;7810.617594;4212.30108
89;4979.06708;8534.260052;2944.08527;5724.401058;8339.69502;4160.03928
90;4956.571295;7492.469984;2928.29929;5473.124194;6842.136882;4034.61096
91;4769.10642;7271.484212;2825.69042;5182.58532;6492.407736;3731.49252
92;4446.666835;6861.082064;2707.29557;4852.784436;5882.623584;3872.59938
93;4551.647165;6545.388104;2655.991135;4617.212376;5972.297724;3721.04016
94;4236.706175;6166.555352;2434.987415;4177.477864;5577.731508;3329.07666
95;3726.801715;5503.598036;2170.57225;3627.809724;4833.436146;2926.6608
96;3239.39304;4756.455664;1921.943065;3023.17477;4026.368886;2346.55482
97;2602.012465;3883.035708;1645.688415;2402.835012;3147.562314;1975.49604
98;2234.58131;3114.847072;1472.042635;2025.919716;2618.484888;1782.12738
99;2054.61503;2651.829264;1385.219745;1813.904862;2340.495054;1661.92524
100;1994.62627;2367.7047;1365.48727;1735.380842;2205.983844;1703.73468
101;2144.59817;2294.042776;1460.20315;1947.395696;2304.625398;1834.38918
102;2489.53354;2536.074812;1771.976255;2881.831534;2690.2242;2905.75608
103;3951.759565;4188.206536;2217.93019;3879.086588;4609.250796;3067.76766
104;4311.692125;5261.566;2312.64607;4153.920658;5129.360808;3046.86294
105;4251.703365;5587.783092;2348.164525;4334.525904;5326.643916;3041.63676
106;4214.21039;5829.815128;2419.201435;4680.031592;5604.63375;3282.04104
107;4386.678075;6387.541124;2537.596285;4986.27527;6160.613418;3386.56464
108;4439.16824;6724.281348;2592.847215;5151.175712;6420.668424;3360.43374
109;4364.18229;6903.174592;2632.312165;5323.928556;6555.179634;3464.95734
110;4386.678075;7187.299156;2723.08155;5606.615028;6842.136882;3564.25476
111;4439.16824;7502.993116;2809.90444;5842.187088;7075.289646;3809.88522
112;4724.11485;7860.779604;2959.87125;6007.08753;7532.62776;4003.25388
113;5031.557245;8208.04296;2845.422895;5449.566988;7918.226562;3883.05174
114;4971.568485;7145.206628;2841.4764;5221.84733;6492.407736;3731.49252
115;4791.602205;6955.790252;2750.707015;4954.865662;6169.580832;3449.2788
116;4454.16543;6587.480632;2640.205155;4680.031592;5622.568578;3611.29038
117;4551.647165;6313.8792;2592.847215;4515.13115;5739.14496;3480.63588
118;4266.700555;6040.277768;2403.415455;4075.396638;5389.415814;3109.5771
119;3749.2975;5398.366716;2154.78627;3517.876096;4680.990108;2754.19686
120;3231.894445;4630.17808;1898.264095;2928.945946;3909.792504;2231.57886
121;2564.51949;3767.281256;1618.06295;2316.45859;3022.018518;1876.19862
122;2189.58974;3009.615752;1448.363665;1955.248098;2537.778162;1703.73468
123;2017.122055;2567.644208;1365.48727;1758.938048;2277.723156;1593.9849
124;1949.6347;2294.042776;1345.754795;1672.561626;2143.211946;1635.79434
125;2092.108005;2220.380852;1424.684695;1892.428882;2241.8535;1761.22266
126;2429.54478;2462.412888;1724.618315;2803.307514;2645.38713;2769.8754
127;3861.776425;4093.498348;2178.46524;3784.857764;4519.576656;2931.88698
128;4244.20477;5124.765284;2281.07411;4083.24904;5021.75184;2884.85136
129;4191.714605;5461.505508;2292.913595;4224.592276;5201.10012;2853.49428
130;4124.22725;5640.398752;2344.21803;4483.721542;5425.28547;3083.4462
131;4296.694935;6124.462824;2470.50587;4837.079632;5837.786514;3151.38654
132;4334.18791;6524.34184;2513.917315;5056.946888;6044.037036;3114.80328
133;4229.20758;6776.897008;2533.64979;5237.552134;6115.776348;3187.9698
134;4251.703365;7039.975308;2604.6867;5473.124194;6304.092042;3276.81486
135;4274.19915;7334.623004;2655.991135;5716.548656;6501.37515;3538.12386
136;4521.652785;7723.978888;2758.600005;5897.153902;6940.778436;3757.62342
137;4784.10361;8092.288508;2663.884125;5363.190566;7335.344652;3679.23072
138;4709.11766;7061.021572;2663.884125;5135.470908;6160.613418;3569.48094
139;4491.658405;6840.0358;2573.11474;4868.48924;5801.916858;3297.71958
140;4176.717415;6461.203048;2470.50587;4585.802768;5254.904604;3454.50498
141;4244.20477;6187.601616;2434.987415;4452.311934;5362.513572;3344.7552
142;3996.751135;5945.56958;2281.07411;4059.691834;5030.719254;3036.41058
143;3554.33403;5377.320452;2060.07039;3549.285704;4420.935102;2665.3518
144;3059.42676;4651.224344;1807.49471;3101.69879;3757.346466;2351.781
145;2721.989985;4082.975216;1614.116455;2591.29266;3147.562314;1771.67502
146;2107.105195;3314.78658;1373.38026;2096.591334;2394.299538;1677.60378
147;1979.62908;2778.106848;1298.396855;1900.281284;2188.049016;1510.36602
148;1837.155775;2493.982284;1235.252935;1727.52844;1990.765908;1426.74714
149;1784.66561;2262.47338;1227.359945;1758.938048;1892.124354;1557.40164
150;1964.63189;2315.08904;1393.112735;2426.392218;2107.34229;1949.36514
151;2662.001225;3346.355976;1665.42089;3227.337222;3057.888174;2534.6973
152;3576.829815;4440.761704;2052.1774;4122.51105;4053.271128;3072.99384
153;4334.18791;5661.445016;2352.11102;4884.194044;4958.979942;3318.6243
154;4679.12328;6587.480632;2573.11474;5598.762626;5523.927024;3924.86118
155;5264.01369;7723.978888;2805.957945;6101.316354;6375.831354;3736.7187
156;4896.582535;8144.904168;2727.028045;6062.054344;6133.711176;3768.07578
157;4799.1008;8123.857904;2754.65351;6297.626404;6259.254972;3982.34916
158;4941.574105;8523.73692;2821.743925;6533.198464;6608.984118;3804.65904
159;4754.10923;8734.19956;2845.422895;6682.394102;6591.04929;4071.19422
160;5106.543195;9081.462916;3015.12218;6823.737338;7084.25706;4018.93242
161;5039.05584;9281.402424;2750.707015;5944.268314;7066.322232;3559.02858
162;4536.649975;7734.50202;2616.526185;5567.353018;5613.601164;3705.36162
163;4716.616255;7429.331192;2667.83062;5606.615028;5882.623584;3956.21826
164;5046.554435;7576.65504;2746.76052;5496.6814;6115.776348;3836.01612
165;4761.607825;7303.053608;2588.90072;5080.504094;5775.014616;3741.94488
